,epochs,nc1_fig,fig2_1_train_class_means_equinorm,fig2_2_train_class_weights_equinorm,fig3_nc2_std_cos_sim,fig3_2_nc2_weights_std_cos_sim,fig4_nc2_mean_cos_sim,fig4_2_nc2_weights_mean_cos_sim,fig5_nc3,fig6_nc1_scale_invariant,fig7_nc4_disagreement,fig8_nc5,fig8_nc5_noised
0,0,26.404592514038086,0.3689250946044922,0.10245079547166824,0.36479252576828003,0.1817966103553772,0.012187985703349113,0.007180334534496069,76.13538360595703,64.55029296875,0.40073999762535095,0.775032103061676,0.5314880013465881
1,10,13.912214279174805,0.2883830964565277,0.06655106693506241,0.24399465322494507,0.07561825960874557,0.005828654859215021,0.005209085065871477,63.00755310058594,12.120960235595703,0.3702400028705597,0.514342725276947,0.28034093976020813
2,20,22.0018310546875,0.2673419713973999,0.04450170695781708,0.20993205904960632,0.0458156019449234,0.003339459653943777,0.006066787987947464,66.71061706542969,7.158967018127441,0.33295997977256775,0.5199609398841858,0.23651504516601562
3,30,27.411623001098633,0.2590806186199188,0.050368782132864,0.19233816862106323,0.03420696780085564,0.0029967157170176506,0.00659890566021204,65.60186767578125,5.278238296508789,0.26593998074531555,0.520930826663971,0.1955014318227768
4,40,28.318115234375,0.2687300145626068,0.059345345944166183,0.1920577585697174,0.028850801289081573,0.0032397431787103415,0.006907950155436993,69.7123794555664,5.277956485748291,0.28105998039245605,0.5406249165534973,0.20636935532093048
5,50,36.33932113647461,0.2528785765171051,0.06347155570983887,0.18030111491680145,0.0258804764598608,0.0023587646428495646,0.007093070540577173,66.32890319824219,4.4683756828308105,0.22627998888492584,0.5349377989768982,0.21330997347831726
6,60,38.978450775146484,0.25364843010902405,0.06769579648971558,0.17889708280563354,0.02400728315114975,0.002472355030477047,0.007223718333989382,66.48717498779297,4.283972263336182,0.21223999559879303,0.49206843972206116,0.2721138596534729
7,70,44.789344787597656,0.2689148783683777,0.06998219341039658,0.17740511894226074,0.022678202018141747,0.00239022565074265,0.007311850320547819,67.38716125488281,4.520500183105469,0.23349998891353607,0.5209729075431824,0.2721495032310486
8,80,44.467430114746094,0.26909369230270386,0.07065564393997192,0.17253397405147552,0.02184935472905636,0.0023634766694158316,0.007380029186606407,65.78734588623047,3.994931221008301,0.19835999608039856,0.5077769160270691,0.2465125471353531
9,90,44.6948127746582,0.25771480798721313,0.07117051631212234,0.17140695452690125,0.021099871024489403,0.002211222192272544,0.0074328407645225525,66.13195037841797,4.150789260864258,0.20721998810768127,0.5141378045082092,0.26542362570762634
10,100,49.024085998535156,0.2511853873729706,0.0721152052283287,0.17280010879039764,0.02053355611860752,0.002205435186624527,0.007476516999304295,65.53999328613281,3.943796396255493,0.1953199952840805,0.5098634362220764,0.2533136010169983
11,110,55.7080192565918,0.25854676961898804,0.0721379742026329,0.1707775741815567,0.020049553364515305,0.0022614821791648865,0.007511026691645384,65.48240661621094,3.8473687171936035,0.19132000207901,0.5166635513305664,0.2566409707069397
12,120,54.30838394165039,0.26209622621536255,0.07280151546001434,0.17417451739311218,0.019723277539014816,0.002734208945184946,0.007538768462836742,66.8881607055664,4.02429723739624,0.20075999200344086,0.5120580196380615,0.27571964263916016
13,130,60.53133010864258,0.2531651258468628,0.0734010562300682,0.16794900596141815,0.01940811425447464,0.002477130852639675,0.007561528589576483,64.8331527709961,3.7176430225372314,0.1747799962759018,0.5398984551429749,0.2619233727455139
14,140,68.30423736572266,0.2723965346813202,0.07302135229110718,0.1725524663925171,0.01917743682861328,0.00306498259305954,0.007579926401376724,65.57844543457031,3.7862799167633057,0.1805799901485443,0.5393523573875427,0.2842888832092285
15,150,70.93025207519531,0.26738402247428894,0.07363706827163696,0.16794969141483307,0.018986525014042854,0.0025729311164468527,0.007596737705171108,65.33006286621094,3.7914552688598633,0.18505999445915222,0.5237694978713989,0.279312402009964
16,160,58.25277328491211,0.2513170838356018,0.07383575290441513,0.1718304306268692,0.018764877691864967,0.002413457026705146,0.007613371592015028,65.75379943847656,3.74783992767334,0.1799599975347519,0.5351613759994507,0.2363615781068802
17,170,65.14766693115234,0.2681037485599518,0.0743858739733696,0.17101627588272095,0.0185215063393116,0.003184571396559477,0.007628069259226322,66.2638168334961,3.855255126953125,0.18299999833106995,0.5399304032325745,0.2811957001686096
18,180,65.78966522216797,0.26210474967956543,0.07412222772836685,0.16853374242782593,0.018377413973212242,0.002486434066668153,0.007639502640813589,64.70942687988281,3.6978230476379395,0.17657999694347382,0.5246999859809875,0.27664756774902344
19,190,62.395973205566406,0.25744786858558655,0.07450859993696213,0.16755984723567963,0.018254073336720467,0.002355508506298065,0.007651383522897959,64.91024017333984,3.596759796142578,0.16937999427318573,0.5377746224403381,0.24473382532596588
20,200,66.65833282470703,0.2685737609863281,0.07496488094329834,0.17112784087657928,0.01816297508776188,0.0029382917564362288,0.007662300020456314,65.3076400756836,3.667374849319458,0.17379999160766602,0.5215559005737305,0.2514488399028778
21,210,74.44969177246094,0.2584380805492401,0.07525386661291122,0.17102429270744324,0.01806429587304592,0.002675403142347932,0.007671280298382044,64.54945373535156,3.6079580783843994,0.1704999953508377,0.5233849883079529,0.26727095246315
22,220,72.03990173339844,0.25835928320884705,0.07461594045162201,0.16842687129974365,0.01793709024786949,0.0024126453790813684,0.007678598165512085,64.49996185302734,3.550480365753174,0.1644599884748459,0.5010201930999756,0.2770237624645233
23,230,75.03182220458984,0.2520352303981781,0.07499533891677856,0.16619296371936798,0.017826978117227554,0.002204775344580412,0.00768651720136404,65.70892333984375,3.5778067111968994,0.17803999781608582,0.5288472175598145,0.2552278935909271
24,240,74.46775817871094,0.25939667224884033,0.07479564100503922,0.1685461848974228,0.01771850697696209,0.0026686217170208693,0.00769251212477684,64.69563293457031,3.534174680709839,0.16603998839855194,0.5382333993911743,0.2811700701713562
25,250,81.45355224609375,0.2669733464717865,0.07485178858041763,0.1675565540790558,0.01772649958729744,0.0028171429876238108,0.0076926639303565025,64.17669677734375,3.444798469543457,0.1579200029373169,0.5337884426116943,0.25157660245895386
26,260,82.61234283447266,0.25297847390174866,0.07471340149641037,0.16783839464187622,0.017729010432958603,0.0023463177494704723,0.007691629696637392,63.38705825805664,3.386352777481079,0.15333999693393707,0.5301645398139954,0.2719237208366394
27,270,74.7768325805664,0.2617589235305786,0.07451600581407547,0.16683337092399597,0.017746292054653168,0.002717558527365327,0.007689285557717085,63.147064208984375,3.358834981918335,0.14983999729156494,0.5277439951896667,0.27769148349761963
28,280,76.01995849609375,0.26020511984825134,0.07451289147138596,0.1668490320444107,0.017766006290912628,0.002665359992533922,0.007687327452003956,62.92958450317383,3.331944704055786,0.1482200026512146,0.5302934646606445,0.2717256247997284
29,290,73.47712707519531,0.2609806954860687,0.07439932227134705,0.16715379059314728,0.017781006172299385,0.0026723251212388277,0.007685427088290453,62.8463249206543,3.3309452533721924,0.14627999067306519,0.5293425917625427,0.27172404527664185
30,300,74.6943130493164,0.25992655754089355,0.07438433915376663,0.1674925684928894,0.01779547892510891,0.002679172670468688,0.007683541160076857,62.84784698486328,3.3254215717315674,0.14677999913692474,0.5311408638954163,0.2722379267215729
31,310,72.13665008544922,0.2607385516166687,0.07430289685726166,0.16834737360477448,0.017811479046940804,0.0027251376304775476,0.007681647781282663,62.786983489990234,3.3342387676239014,0.14671999216079712,0.5349143743515015,0.27306175231933594
32,320,73.7711181640625,0.25923168659210205,0.07431819289922714,0.16862787306308746,0.017826860770583153,0.0027060292195528746,0.007679951377213001,62.76849365234375,3.3280980587005615,0.1465200036764145,0.53466796875,0.27610912919044495
33,330,76.18009948730469,0.25881683826446533,0.07426057755947113,0.16891653835773468,0.017837654799222946,0.0027068580966442823,0.007678154390305281,62.78345489501953,3.3316729068756104,0.14683999121189117,0.5352503657341003,0.27659592032432556
34,340,76.7945785522461,0.2600942850112915,0.07426333427429199,0.16912412643432617,0.01785038225352764,0.0027470136992633343,0.007676408626139164,62.75588607788086,3.3346807956695557,0.147039994597435,0.5364112854003906,0.279826283454895
35,350,76.11946868896484,0.2604827284812927,0.07423745095729828,0.16910842061042786,0.017866352573037148,0.002755941590294242,0.007674678694456816,62.7354736328125,3.3406944274902344,0.14701999723911285,0.5363106727600098,0.27872219681739807
36,360,75.59642028808594,0.2592088282108307,0.07420892268419266,0.1695881485939026,0.017879972234368324,0.002737682778388262,0.007672765292227268,62.74015426635742,3.3416264057159424,0.1480799913406372,0.5372962951660156,0.27951177954673767
37,370,76.33855438232422,0.2579067051410675,0.07419421523809433,0.1697605401277542,0.017893990501761436,0.00269091478548944,0.007671027444303036,62.717044830322266,3.3427813053131104,0.14795999228954315,0.5389603972434998,0.27756211161613464
38,380,77.05374145507812,0.2598406970500946,0.07417169213294983,0.16992276906967163,0.01790599524974823,0.0027546912897378206,0.007669286336749792,62.72684097290039,3.345681667327881,0.14791999757289886,0.5396775603294373,0.2800525724887848
39,390,76.98474884033203,0.2585803270339966,0.07415197789669037,0.17007359862327576,0.01791953854262829,0.0027127477806061506,0.007667523808777332,62.70513916015625,3.3471744060516357,0.14839999377727509,0.5387081503868103,0.2784897983074188
40,400,76.7961196899414,0.25861138105392456,0.07412447035312653,0.17023763060569763,0.017932103946805,0.0027363067492842674,0.0076657445169985294,62.67438507080078,3.3493478298187256,0.1481200009584427,0.5408837795257568,0.2799227833747864
41,410,76.32911682128906,0.2588120698928833,0.07411766797304153,0.1703656017780304,0.017946282401680946,0.002744898898527026,0.007663925644010305,62.6982536315918,3.349693775177002,0.1486399918794632,0.5408310294151306,0.27991947531700134
42,420,75.9099349975586,0.25821369886398315,0.07411687821149826,0.17058011889457703,0.0179611686617136,0.0027425498701632023,0.007662187330424786,62.691444396972656,3.356187582015991,0.1485999971628189,0.5416996479034424,0.27924033999443054
43,430,76.21856689453125,0.2586292028427124,0.07410094887018204,0.17063160240650177,0.017972653731703758,0.002768315374851227,0.00766037916764617,62.70677185058594,3.3556790351867676,0.14885999262332916,0.5413860082626343,0.28102490305900574
44,440,76.58964538574219,0.2586754262447357,0.07410917431116104,0.17085957527160645,0.017986437305808067,0.0027539676520973444,0.007658685557544231,62.73409652709961,3.3547301292419434,0.14951999485492706,0.5400667786598206,0.28372716903686523
45,450,76.86109924316406,0.257280170917511,0.07407429069280624,0.17109832167625427,0.017999134957790375,0.0027220186311751604,0.007656909991055727,62.72578811645508,3.3599565029144287,0.14989998936653137,0.5422658324241638,0.280554860830307
46,460,77.21170806884766,0.258120059967041,0.0741107165813446,0.17125047743320465,0.018013188615441322,0.0027770299930125475,0.00765517121180892,62.7154426574707,3.3624064922332764,0.15017999708652496,0.5426452159881592,0.27968642115592957
47,470,76.17937469482422,0.2576240599155426,0.07405117899179459,0.17135915160179138,0.01802610047161579,0.0027499855495989323,0.007653335575014353,62.72287368774414,3.3614916801452637,0.15017999708652496,0.5410003066062927,0.2813422381877899
48,480,77.0301284790039,0.2576284110546112,0.07407667487859726,0.17138700187206268,0.0180392786860466,0.0027549415826797485,0.007651633117347956,62.705562591552734,3.366581916809082,0.15021999180316925,0.5430517792701721,0.2806629538536072
